Location,State,fatalities,injured,total_victims,location,age_of_shooter,prior_signs_mental_health_issues,weapons_obtained_legally,weapon_type,race,gender,type,year
Seal Beach, California,8,1,9,Other,42,Yes,Yes,multiple,white,M,Mass,2011
Carson City, Nevada,5,7,12,Other,32,Yes,Yes,multiple,Latino,M,Mass,2011
Tucson, Arizona,6,13,19,Other,22,Yes,Yes,semiautomatic handgun,white,M,Mass,2011
Manchester, Connecticut,9,2,11,Workplace,34,No,Yes,semiautomatic handgun,black,M,Mass,2010
Parkland, Washington,4,1,5,Other,37,Yes,No,semiautomatic handgun,black,M,Mass,2009
Fort Hood, Texas,13,31,44,Military,39,Unclear,Yes,semiautomatic handgun,Other,M,Mass,2009
Binghamton, New York,14,4,18,Other,41,Yes,Yes,semiautomatic handgun,Asian,M,Mass,2009
Carthage, North Carolina,8,3,11,Other,45,Yes,Yes,multiple,white,M,Mass,2009
Henderson, Kentucky,6,1,7,Workplace,25,No,Yes,semiautomatic handgun,white,M,Spree,2008
DeKalb, Illinois,5,21,26,School,27,Yes,Yes,multiple,white,M,Mass,2008
Kirkwood, Missouri,6,2,8,Other,52,No,No,multiple,black,M,Mass,2008
Omaha, Nebraska,9,4,13,Other,19,Yes,No,assualt rifle,white,M,Spree,2007
Crandon, Wisconsin,6,1,7,Other,20,Unclear,Yes,assualt rifle,white,M,Mass,2007
Blacksburg, Virginia,32,23,55,School,23,Yes,Yes,semiautomatic handgun,Asian,M,Mass,2007
Salt Lake City, Utah,6,4,10,Other,18,Unclear,Unknown,multiple,white,M,Mass,2007
Lancaster County, Pennsylvania,6,5,11,School,32,No,Yes,multiple,white,M,Mass,2006
Seattle, Washington,7,2,9,Other,28,No,Yes,multiple,white,M,Mass,2006
Goleta, California,8,0,8,Workplace,44,Yes,Yes,semiautomatic handgun,white,F,Mass,2006
Red Lake, Minnesota,10,5,15,School,16,Yes,No,multiple,Native American,M,Mass,2005
Brookfield, Wisconsin,7,4,11,Religious,44,Yes,Yes,semiautomatic handgun,white,M,Spree,2005
Columbus, Ohio,5,7,12,Other,25,Yes,Yes,semiautomatic handgun,white,M,Mass,2004
Meridian, Mississippi,7,8,15,Workplace,48,Yes,Yes,multiple,white,M,Mass,2003
Melrose Park, Illinois,5,4,9,Workplace,66,No,Yes,multiple,black,M,Mass,2001
Wakefield, Massachusetts,7,0,7,Workplace,42,Yes,Yes,multiple,white,M,Mass,2000
Tampa, Florida,5,3,8,Workplace,36,Yes,Yes,multiple,Latino,M,Spree,1999
Honolulu, Hawaii,7,0,7,Workplace,40,Yes,Yes,semiautomatic handgun,Asian,M,Spree,1999
Fort Worth, Texas,8,7,15,Religious,47,Yes,Yes,semiautomatic handgun,white,M,Mass,1999
Atlanta, Georgia,9,13,22,Workplace,44,Yes,Yes,multiple,white,M,Mass,1999
Littleton, Colorado,13,24,37,School,17,Yes,No,multiple,white,M,Mass,1999
Springfield, Oregon,4,25,29,School,15,Yes,No,multiple,white,M,Mass,1998
Jonesboro, Arkansas,5,10,15,School,11,No,No,multiple,white,M,Mass,1998
Newington, Connecticut,5,1,6,Workplace,35,Yes,Yes,semiautomatic handgun,white,M,Mass,1998
Orange, California,5,2,7,Workplace,41,No,Yes,assualt rifle,Latino,M,Spree,1997
