Location,State,fatalities,injured,total_victims,location,age_of_shooter,prior_signs_mental_health_issues,weapons_obtained_legally,weapon_type,race,gender,latitude,longitude,type,year
Washington, D.C.,12,8,20,Military,34,Yes,Yes,multiple,Black,M,38.874981,-76.99453,Mass,2013
Hialeah, Florida,7,0,7,"Other
",42,Unclear,Yes,Semiautomatic handgun,Latino,M,25.864338,-80.311775,Mass,2013
Santa Monica, California,6,3,9,"Other
",23,Yes,Yes ,multiple,White,M,34.008617,-118.494754,Mass,2013
Federal Way, Washington,5,0,5,"Other
",27,No,Yes,multiple,Black,M,47.3129607,-122.3393665,Mass,2013
Herkimer County, New York,5,2,7,Other,64,No,Yes,shotgun,White,M,43.045601,-74.984891,Mass,2013
Newtown, Connecticut,27,2,29,School,20,Yes,No,multiple,white,M,41.4123225,-73.31142358,Mass,2012
Minneapolis, Minnesota,7,1,8,Workplace,36,Yes,Yes,semiautomatic handgun,white,M,44.977425,-93.310408,Mass,2012
Oak Creek, Wisconsin,7,3,10,Religious,40,Yes,Yes,semiautomatic handgun,white,M,42.8858503,-87.8631362,Mass,2012
Aurora, Colorado,12,70,82,Other,24,Yes,Yes,multiple,white,M,39.706038,-104.820594,Spree,2012
Seattle, Washington,6,1,7,Other,40,Yes,Yes,semiautomatic handgun,white,M,47.6038321,-122.3300624,Mass,2012
Oakland, California,7,3,10,School,43,Yes,Yes,semiautomatic handgun,Asian,M,37.8043808,-122.2708166,Mass,2012
Norcross, Georgia,5,0,5,Other,59,Yes,Yes,semiautomatic handgun,Asian,M,33.9412127,-84.2135309,Mass,2012
Seal Beach, California,8,1,9,Other,42,Yes,Yes,multiple,white,M,33.741176,-118.1046356,Mass,2011
Carson City, Nevada,5,7,12,Other,32,Yes,Yes,multiple,Latino,M,39.1637984,-119.7674034,Mass,2011
Tucson, Arizona,6,13,19,Other,22,Yes,Yes,semiautomatic handgun,white,M,32.335941,-110.975132,Mass,2011
Manchester, Connecticut,9,2,11,Workplace,34,No,Yes,semiautomatic handgun,black,M,41.798764,-72.570068,Mass,2010
Parkland, Washington,4,1,5,Other,37,Yes,No,semiautomatic handgun,black,M,47.15277,-122.467308,Mass,2009
Fort Hood, Texas,13,31,44,Military,39,Unclear,Yes,semiautomatic handgun,Other,M,31.135557,-97.783664,Mass,2009
Binghamton, New York,14,4,18,Other,41,Yes,Yes,semiautomatic handgun,Asian,M,42.099802,-75.917723,Mass,2009
Carthage, North Carolina,8,3,11,Other,45,Yes,Yes,multiple,white,M,35.333434,-79.414592,Mass,2009
Henderson, Kentucky,6,1,7,Workplace,25,No,Yes,semiautomatic handgun,white,M,37.76721,-87.5573742,Spree,2008
DeKalb, Illinois,5,21,26,School,27,Yes,Yes,multiple,white,M,41.9294736,-88.7503647,Mass,2008
Kirkwood, Missouri,6,2,8,Other,52,No,No,multiple,black,M,38.580093,-90.40691,Mass,2008
Omaha, Nebraska,9,4,13,Other,19,Yes,No,assualt rifle,white,M,41.265719,-96.067495,Spree,2007
Crandon, Wisconsin,6,1,7,Other,20,Unclear,Yes,assualt rifle,white,M,45.5719072,-88.9028922,Mass,2007
Blacksburg, Virginia,32,23,55,School,23,Yes,Yes,semiautomatic handgun,Asian,M,37.2295733,-80.4139393,Mass,2007
Salt Lake City, Utah,6,4,10,Other,18,Unclear,Unknown,multiple,white,M,40.7606467,-111.89109,Mass,2007
Lancaster County, Pennsylvania,6,5,11,School,32,No,Yes,multiple,white,M,39.9589,-76.0806,Mass,2006
Seattle, Washington,7,2,9,Other,28,No,Yes,multiple,white,M,47.6229,-122.3165,Mass,2006
Goleta, California,8,0,8,Workplace,44,Yes,Yes,semiautomatic handgun,white,F,34.425571,-119.866069,Mass,2006
Red Lake, Minnesota,10,5,15,School,16,Yes,No,multiple,Native American,M,47.876346,-95.0169401,Mass,2005
Brookfield, Wisconsin,7,4,11,Religious,44,Yes,Yes,semiautomatic handgun,white,M,43.0605671,-88.1064787,Spree,2005
Columbus, Ohio,5,7,12,Other,25,Yes,Yes,semiautomatic handgun,white,M,39.9622601,-83.0007065,Mass,2004
Meridian, Mississippi,7,8,15,Workplace,48,Yes,Yes,multiple,white,M,32.410842,-88.634539,Mass,2003
Melrose Park, Illinois,5,4,9,Workplace,66,No,Yes,multiple,black,M,41.908163,-87.879908,Mass,2001
Wakefield, Massachusetts,7,0,7,Workplace,42,Yes,Yes,multiple,white,M,42.500429,-71.075913,Mass,2000
Tampa, Florida,5,3,8,Workplace,36,Yes,Yes,multiple,Latino,M,27.966479,-82.570586,Spree,1999
Honolulu, Hawaii,7,0,7,Workplace,40,Yes,Yes,semiautomatic handgun,Asian,M,21.320063,-157.876462,Spree,1999
Fort Worth, Texas,8,7,15,Religious,47,Yes,Yes,semiautomatic handgun,white,M,32.664511,-97.384246,Mass,1999
Atlanta, Georgia,9,13,22,Workplace,44,Yes,Yes,multiple,white,M,33.850116,-84.377839,Mass,1999
Littleton, Colorado,13,24,37,School,17,Yes,No,multiple,white,M,39.604034,-105.074103,Mass,1999
Springfield, Oregon,4,25,29,School,15,Yes,No,multiple,white,M,44.0462362,-123.0220289,Mass,1998
Jonesboro, Arkansas,5,10,15,School,11,No,No,multiple,white,M,35.8209895,-90.6682606,Mass,1998
Newington, Connecticut,5,1,6,Workplace,35,Yes,Yes,semiautomatic handgun,white,M,41.6856325,-72.72983827,Mass,1998
Orange, California,5,2,7,Workplace,41,No,Yes,assualt rifle,Latino,M,33.7877944,-117.8531119,Spree,1997
Aiken, South Carolina,4,3,7,Workplace,43,No,No,semiautomatic handgun,black,M,33.5598586,-81.721952,Mass,1997
Fort Lauderdale, Florida,6,1,7,Workplace,41,Yes,Yes,multiple,black,M,26.119269,-80.104119,Spree,1996
Corpus Christi, Texas,6,0,6,Workplace,28,No,Yes,multiple,unclear,M,27.828025,-97.548198,Mass,1995
Fairchild Air Force Base, Washington,5,23,28,Military,20,Yes,Yes,assualt rifle,white,M,47.61864486,-117.6483587,Mass,1994
Aurora, Colorado,4,1,5,Workplace,19,Unclear,Unknown,semiautomatic handgun,black,M,39.675599,-104.844845,Mass,1993
Garden City, New York,6,19,25,Other,35,Yes,Yes,semiautomatic handgun,black,M,40.7267682,-73.6342955,Spree,1993
Fayetteville, North Carolina,4,8,12,Other,22,No,Yes,multiple,white,M,35.0529931,-78.8787058,Mass,1993
San Francisco, California,9,6,15,Other,55,No,No,multiple,white,M,37.792968,-122.397973,Mass,1993
Watkins Glen, New York,5,0,5,Other,50,Yes,Yes,semiautomatic handgun,white,M,42.3810555,-76.8705777,Mass,1992
Olivehurst, California,4,10,14,School,20,No,Yes,multiple,white,M,39.07868761,-121.5475762,Mass,1992
Royal Oak, Michigan,5,5,10,Workplace,31,Yes,Yes,assualt rifle,white,M,42.4894801,-83.1446485,Mass,1991
Iowa City, Iowa,6,1,7,School,28,Unclear,Yes,semiautomatic handgun,Asian,M,41.6606893,-91.5302214,Spree,1991
Killeen, Texas,24,20,44,Other,35,No,Yes,semiautomatic handgun,white,M,31.1171194,-97.7277959,Mass,1991
Jacksonville, Florida,10,4,14,Other,42,No,Yes,assualt rifle,black,M,30.3321838,-81.655651,Mass,1990
Louisville, Kentucky,9,12,21,Workplace,47,Yes,Yes,multiple,white,M,38.2542376,-85.759407,Mass,1989
Stockton, California,6,29,35,School,26,Yes,Yes,multiple,white,M,37.9577016,-121.2907796,Mass,1989
Sunnyvale, California,7,4,11,Workplace,39,Yes,Yes,multiple,white,M,37.3688301,-122.0363496,Mass,1988
Palm Bay, Florida,6,14,20,Other,59,Yes,Yes,multiple,white,M,28.0331886,-80.6429695,Spree,1987
Edmond, Oklahoma,15,6,21,Workplace,44,Unclear ,Yes,semiautomatic handgun,white,M,35.6672015,-97.42937037,Mass,1986
San Ysidro, California,22,19,41,Other,41,Yes,Yes,multiple,white,M,32.5520013,-117.0430813,Mass,1984
Dallas, Texas,6,1,7,Other,39,Yes,No,"handgun
",white,M,32.925166,-96.838676,Mass,1984
Miami, Florida,8,3,11,Other,51,Yes,Yes,shotgun,white,M,25.796491,-80.226683,Mass,1982
